sample_id,ml_E0_g_per_L,ml_k_d,fit_E0_g_per_L,fit_k_d,true_E0_g_per_L,true_k_d,ml_E0_g_per_L_mae,ml_k_d_mae,fit_E0_g_per_L_mae,fit_k_d_mae,ml_powder_activity_frac_derived,fit_powder_activity_frac_derived,true_powder_activity_frac_derived,ml_rmse,ml_mae,ml_r2,fit_rmse,fit_mae,fit_r2,true_time_to_thresh,ml_time_to_thresh,fit_time_to_thresh
0,0.7648169663225781,0.0036217028444866664,0.7167110414470269,0.002594114061141269,0.709854217280056,0.003543061799815645,0.054962749042522074,7.864104467102161e-05,0.006856824166970865,0.0009489477386743759,1.0,1.0,1.0,0.004754236255610552,0.004111826896583438,0.998805427105199,0.01398141720336066,0.01358857608061553,0.9896687343838405,3.868666244299033,3.8158545077021784,3.859953981880902
1,0.4596911891770642,0.00226156387848772,0.7104639806694926,0.004999999998687571,0.6999063714991356,0.004880929861575163,0.2402151823220714,0.002619365983087443,0.010557609170356974,0.000119070137112408,0.7201207328286363,1.0,1.0,0.031106381437336416,0.026362751040211154,0.9259475619024126,0.0010139355584293892,0.0008708673185081647,0.9999213205920517,3.767014762869834,4.383004947396707,3.7484164632461736
2,0.4217963951352334,0.002340308415328462,0.5771038477484945,2.0586051874705583e-17,0.5758170894893708,0.000663723950932128,0.1540206943541374,0.001676584464396334,0.0012867582591237214,0.0006637239509321074,0.21509039014347586,0.2942877018323669,0.2936315337399712,0.06348191757388767,0.06309810351683479,0.8281352839900835,0.012156563547330431,0.01177175722268815,0.9936975660868382,4.351682068916771,4.730196198655673,4.3474531249345425
3,0.5498902103049192,0.002237277764257884,0.7684836692338473,0.0013280995369993418,0.7558174997890124,0.00048178795342092854,0.2059272894840931,0.0017554898108369556,0.012666169444834896,0.0008463115835784132,1.0,1.0,1.0,0.05379461312371642,0.053454394596590495,0.8021903472974312,0.013071141249796043,0.012398766440699217,0.9883212350197369,3.292669065148548,3.6611111778902425,3.277959897334561
4,0.05719840805165932,0.0026100282127003837,0.18640443216648567,0.0041368690194703754,0.18775699446571012,0.004158675316220993,0.1305585864140508,0.001548647103520609,0.0013525622992244524,2.1806296750617217e-05,0.04078245636324915,0.13290633218113493,0.13387070889764913,0.14736138581203784,0.13424440901672152,0.06774715167854495,0.0005537840996548855,0.00041915245785681545,0.9999868341989256,4.9038301806947295,15.619104354081385,4.9140157047877935
5,0.5532501736863158,0.0020914843311030016,0.9353999656420886,0.004413323289164124,0.9237638420154171,0.001381271866784377,0.37051366832910126,0.0007102124643186246,0.011636123626671546,0.0030320514223797475,0.5828989511000005,0.9855282198987516,0.9732685142909546,0.05692453310166751,0.05459017239718299,0.8312107187460526,0.053195369745871836,0.05103465669647226,0.8526013271430706,3.981286270855944,4.564110262674824,3.976535735485324
6,0.03436164272809061,0.0025776639608212078,0.20256025996139385,0.004022674993620923,0.20361159176114077,0.004531045074926232,0.16924994903305016,0.001953381114105024,0.001051331799746924,0.000508370081305309,0.026578414149967308,0.15667849532635328,0.15749169078978964,0.314600218975946,0.3040504082219838,-3.663114516273872,0.01579426147238415,0.015111218418093963,0.9882467848389754,8.494070072007084,50.03638311650783,8.515726557426483
7,0.6404763982897751,0.0021997285878950627,1.018589391127311,0.00349280524013891,1.0108382605347228,0.0028580107183533254,0.3703618622449477,0.0006582821304582627,0.00775113059258814,0.0006347945217855845,0.7387930558987726,1.0,1.0,0.031027039875460277,0.025054677923663133,0.9188252034669119,0.010439520623521183,0.009975214562621022,0.9908102936466608,3.028023536844176,3.577743800891442,3.0218365865175407
8,1.0057099725509024,0.005,0.7239262107024076,0.004999999997109665,0.7160946830315889,0.0030085980681921354,0.2896152895193136,0.0019914019318078647,0.007831527670818739,0.00199140192891753,1.0,0.9747641095363893,0.9642189849318411,0.013372731094386523,0.008876082457923503,0.9838214094245717,0.024477163602824203,0.02364074289842361,0.9457970850878707,2.8396010115029044,2.6135381651462994,2.8351014601554727
9,1.25,0.005,1.179021768695516,2.3522535979316447e-08,1.1698070434953507,2.352906663040999e-05,0.0801929565046493,0.00497647093336959,0.009214725200165308,2.3505544094430673e-05,1.0,1.0,1.0,0.03823593833359065,0.036838997759367574,0.9069750167730457,0.000384705510269365,0.000317457509048814,0.9999905829926548,3.286832221885959,3.258936111303418,3.282653999662843
