time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,6.912752,6.899756,6.912752,6.912752,1
5.000000,8.130111,8.119764,7.989313,8.133691,1
10.000000,8.362317,8.370157,8.234176,8.364827,1
15.000000,8.484843,8.479625,8.365149,8.486533,1
20.000000,8.565288,8.570810,8.451782,8.566291,1
25.000000,8.623843,8.604801,8.515162,8.624245,1
30.000000,8.669148,8.640197,8.564383,8.669011,1
35.000000,8.705654,,8.604160,8.705024,0
40.000000,8.735935,,8.637233,8.734851,0
45.000000,8.761608,,8.665327,8.760101,0
50.000000,8.783749,,8.689595,8.781844,0
55.000000,8.803106,,8.710842,8.800826,0
60.000000,8.820221,,8.729650,8.817586,0
65.000000,8.835496,,8.746453,8.832523,0
70.000000,8.849239,,8.761583,8.845943,0
75.000000,8.861689,,8.775299,8.858083,0
80.000000,8.873034,,8.787807,8.869131,0
85.000000,8.883428,,8.799272,8.879240,0
90.000000,8.892994,,8.809828,8.888531,0
95.000000,8.901835,,8.819587,8.897106,0
100.000000,8.910036,,8.828643,8.905051,0
105.000000,8.917670,,8.837074,8.912437,0
110.000000,8.924797,,8.844946,8.919323,0
115.000000,8.931469,,8.852316,8.925762,0
120.000000,8.937732,,8.859235,8.931798,0
125.000000,8.943624,,8.865743,8.937469,0
130.000000,8.949180,,8.871879,8.942810,0
135.000000,8.954428,,8.877675,8.947850,0
140.000000,8.959396,,8.883160,8.952614,0
145.000000,8.964107,,8.888359,8.957126,0
150.000000,8.968580,,8.893296,8.961405,0
155.000000,8.972835,,8.897989,8.965470,0
160.000000,8.976887,,8.902458,8.969337,0
165.000000,8.980752,,8.906718,8.973021,0
170.000000,8.984443,,8.910785,8.976534,0
175.000000,8.987972,,8.914671,8.979890,0
180.000000,8.991350,,8.918389,8.983097,0
185.000000,8.994587,,8.921949,8.986167,0
190.000000,8.997691,,8.925362,8.989108,0
195.000000,9.000672,,8.928636,8.991927,0
200.000000,9.003536,,8.931780,8.994634,0
205.000000,9.006291,,8.934802,8.997234,0
210.000000,9.008942,,8.937709,8.999733,0
215.000000,9.011497,,8.940507,9.002138,0
220.000000,9.013959,,8.943203,9.004454,0
225.000000,9.016335,,8.945801,9.006685,0
230.000000,9.018629,,8.948307,9.008836,0
235.000000,9.020845,,8.950726,9.010912,0
240.000000,9.022987,,8.953063,9.012916,0
245.000000,9.025059,,8.955320,9.014853,0
250.000000,9.027064,,8.957503,9.016724,0
255.000000,9.029006,,8.959615,9.018535,0
260.000000,9.030888,,8.961659,9.020286,0
265.000000,9.032712,,8.963639,9.021982,0
270.000000,9.034481,,8.965556,9.023625,0
275.000000,9.036198,,8.967415,9.025218,0
280.000000,9.037865,,8.969218,9.026762,0
285.000000,9.039484,,8.970967,9.028259,0
290.000000,9.041057,,8.972664,9.029713,0
295.000000,9.042587,,8.974312,9.031124,0
300.000000,9.044074,,8.975913,9.032494,0
305.000000,9.045521,,8.977468,9.033826,0
310.000000,9.046930,,8.978980,9.035120,0
315.000000,9.048301,,8.980450,9.036379,0
320.000000,9.049637,,8.981880,9.037603,0
325.000000,9.050938,,8.983272,9.038795,0
330.000000,9.052207,,8.984626,9.039954,0
335.000000,9.053444,,8.985945,9.041084,0
340.000000,9.054650,,8.987229,9.042184,0
345.000000,9.055827,,8.988480,9.043255,0
350.000000,9.056975,,8.989699,9.044299,0
355.000000,9.058097,,8.990887,9.045318,0
360.000000,9.059191,,8.992046,9.046310,0
365.000000,9.060261,,8.993176,9.047279,0
370.000000,9.061306,,8.994278,9.048224,0
375.000000,9.062327,,8.995353,9.049146,0
380.000000,9.063325,,8.996403,9.050046,0
385.000000,9.064301,,8.997427,9.050925,0
390.000000,9.065256,,8.998428,9.051784,0
395.000000,9.066190,,8.999405,9.052622,0
400.000000,9.067104,,9.000359,9.053442,0
405.000000,9.067998,,9.001292,9.054243,0
410.000000,9.068874,,9.002203,9.055025,0
415.000000,9.069731,,9.003094,9.055791,0
420.000000,9.070571,,9.003965,9.056539,0
425.000000,9.071394,,9.004816,9.057272,0
430.000000,9.072199,,9.005649,9.057988,0
435.000000,9.072989,,9.006463,9.058689,0
440.000000,9.073763,,9.007260,9.059375,0
445.000000,9.074522,,9.008040,9.060047,0
450.000000,9.075266,,9.008803,9.060704,0
455.000000,9.075996,,9.009549,9.061348,0
460.000000,9.076712,,9.010281,9.061978,0
465.000000,9.077414,,9.010996,9.062596,0
470.000000,9.078103,,9.011697,9.063201,0
475.000000,9.078779,,9.012384,9.063794,0
480.000000,9.079443,,9.013057,9.064375,0
485.000000,9.080095,,9.013716,9.064945,0
490.000000,9.080734,,9.014361,9.065503,0
495.000000,9.081363,,9.014994,9.066051,0
500.000000,9.081980,,9.015614,9.066588,0
505.000000,9.082586,,9.016222,9.067114,0
510.000000,9.083182,,9.016817,9.067631,0
515.000000,9.083767,,9.017402,9.068138,0
520.000000,9.084342,,9.017975,9.068635,0
525.000000,9.084907,,9.018536,9.069123,0
530.000000,9.085463,,9.019087,9.069601,0
535.000000,9.086009,,9.019628,9.070071,0
540.000000,9.086546,,9.020158,9.070533,0
545.000000,9.087074,,9.020678,9.070985,0
550.000000,9.087594,,9.021189,9.071430,0
555.000000,9.088105,,9.021690,9.071867,0
560.000000,9.088607,,9.022182,9.072296,0
565.000000,9.089102,,9.022664,9.072717,0
570.000000,9.089588,,9.023138,9.073130,0
575.000000,9.090067,,9.023603,9.073537,0
580.000000,9.090539,,9.024060,9.073936,0
585.000000,9.091003,,9.024508,9.074329,0
590.000000,9.091459,,9.024949,9.074714,0
595.000000,9.091909,,9.025381,9.075093,0
600.000000,9.092352,,9.025806,9.075466,0
605.000000,9.092788,,9.026223,9.075832,0
610.000000,9.093217,,9.026633,9.076192,0
615.000000,9.093640,,9.027036,9.076546,0
620.000000,9.094057,,9.027431,9.076894,0
625.000000,9.094467,,9.027820,9.077237,0
630.000000,9.094871,,9.028202,9.077573,0
635.000000,9.095270,,9.028577,9.077904,0
640.000000,9.095662,,9.028946,9.078230,0
645.000000,9.096049,,9.029309,9.078550,0
650.000000,9.096430,,9.029666,9.078865,0
655.000000,9.096806,,9.030016,9.079175,0
660.000000,9.097177,,9.030361,9.079480,0
665.000000,9.097542,,9.030699,9.079781,0
670.000000,9.097902,,9.031033,9.080076,0
675.000000,9.098257,,9.031360,9.080367,0
680.000000,9.098607,,9.031682,9.080653,0
685.000000,9.098952,,9.031999,9.080935,0
690.000000,9.099293,,9.032310,9.081212,0
695.000000,9.099629,,9.032617,9.081485,0
700.000000,9.099960,,9.032918,9.081754,0
705.000000,9.100287,,9.033215,9.082018,0
710.000000,9.100609,,9.033506,9.082279,0
715.000000,9.100928,,9.033793,9.082535,0
720.000000,9.101241,,9.034076,9.082788,0
725.000000,9.101551,,9.034353,9.083037,0
730.000000,9.101857,,9.034627,9.083282,0
735.000000,9.102158,,9.034896,9.083523,0
740.000000,9.102456,,9.035160,9.083761,0
745.000000,9.102750,,9.035421,9.083995,0
750.000000,9.103040,,9.035677,9.084226,0
755.000000,9.103327,,9.035930,9.084453,0
760.000000,9.103609,,9.036178,9.084677,0
765.000000,9.103888,,9.036422,9.084898,0
770.000000,9.104164,,9.036663,9.085115,0
775.000000,9.104436,,9.036900,9.085329,0
780.000000,9.104705,,9.037133,9.085540,0
785.000000,9.104970,,9.037363,9.085749,0
790.000000,9.105232,,9.037589,9.085954,0
795.000000,9.105491,,9.037811,9.086156,0
800.000000,9.105747,,9.038031,9.086355,0
805.000000,9.106000,,9.038246,9.086551,0
810.000000,9.106249,,9.038459,9.086745,0
815.000000,9.106496,,9.038668,9.086936,0
820.000000,9.106739,,9.038874,9.087124,0
825.000000,9.106980,,9.039077,9.087309,0
830.000000,9.107217,,9.039277,9.087492,0
835.000000,9.107452,,9.039474,9.087673,0
840.000000,9.107684,,9.039668,9.087851,0
845.000000,9.107914,,9.039859,9.088026,0
850.000000,9.108140,,9.040047,9.088199,0
